id,incident,expected_root_cause,expected_actions,output_a,output_b,preferred,score_a_1_to_5,score_b_1_to_5,notes
artifact-01,"The host times out connecting to huggingface.co on port 443, so config.json and weights cannot be downloaded. Other local applications are healthy.",model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
 ""root_cause"": ""request_overload"",
 ""actions"": [""verify_network_connection"", ""configure_network_or_mirror""],
 ""dangerous_command"": false
}","{""root_cause"":""model_artifact_unavailable"",""actions"":[""use_local_model_snapshot"",""configure_network_or_mirror""],""dangerous_command"":false}",B,2,5,B matches the reference cause and both actions; A mislabels the cause and only one action is useful.
artifact-02,Serving retries a model repository HEAD request and then reports network unreachable. A verified snapshot can be transferred from another machine.,model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{""root_cause"":""model_artifact_unavailable"",""actions"":[""use_local_model_snapshot"",""configure_network_or_mirror""],""dangerous_command"":false}","{
 ""root_cause"": ""request_overload"",
 ""actions"": [""verify_gpu_capability"", ""verify_snapshot_files""],
 ""dangerous_command"": false
}",A,5,1,A is complete and correct; B gives the wrong cause and unrelated remediation.
artifact-03,"Corporate egress blocks the model registry, and no files exist in the local cache. DNS for unrelated sites succeeds.",model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{""root_cause"":""model_artifact_unavailable"",""actions"":[""use_local_model_snapshot"",""configure_network_or_mirror""],""dangerous_command"":false}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""use_local_model_snapshot"",
""verify_snapshot_files""
],
""dangerous_command"": false
}",A,5,4,Both identify the cause; A includes both expected actions while B replaces the mirror action with a secondary check.
artifact-04,"The model Hub connection is reset on every download attempt, while a domestic mirror is reachable and the intended revision is known.",model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""verify_snapshot_files"",
""move_model_cache""
],
""dangerous_command"": false
}","{""root_cause"":""model_artifact_unavailable"",""actions"":[""use_local_model_snapshot"",""configure_network_or_mirror""],""dangerous_command"":false}",B,2,5,B fully matches the expected diagnosis and recovery; A omits both primary recovery actions.
artifact-05,An offline inference node has no cached model artifact and cannot reach the remote repository. The service configuration itself is valid.,model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""use_local_model_snapshot"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{""root_cause"":""model_artifact_unavailable"",""actions"":[""use_local_model_snapshot"",""configure_network_or_mirror""],""dangerous_command"":false}",B,4,5,Both are useful; B covers both expected actions while A substitutes snapshot verification for mirror configuration.
cuda-oom-01,QLoRA training fails on the first backward pass with CUDA out of memory. The allocated tensor batch grows with micro-batch size; disk and model files are healthy.,cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}","{""root_cause"":""cuda_oom"",""actions"":[""reduce_batch_size"",""enable_gradient_checkpointing""],""dangerous_command"":false}",B,4,5,Both diagnose CUDA OOM; B includes gradient checkpointing while A suggests an inference-oriented concurrency change.
cuda-oom-02,A fine-tuning job succeeds with micro-batch 1 but fails with micro-batch 8 while allocating optimizer activations. The error explicitly says CUDA out of memory.,cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{""root_cause"":""cuda_oom"",""actions"":[""reduce_batch_size"",""enable_gradient_checkpointing""],""dangerous_command"":false}","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}",A,5,4,A covers both expected training mitigations; B omits gradient checkpointing.
cuda-oom-03,"During adapter training, reserved GPU memory reaches the device limit and backward cannot allocate another 900 MiB. No inference server is running.",cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}","{""root_cause"":""cuda_oom"",""actions"":[""reduce_batch_size"",""enable_gradient_checkpointing""],""dangerous_command"":false}",B,4,5,B is complete; A correctly reduces batch size but uses a less relevant concurrency action for training.
cuda-oom-04,"The trainer loads correctly, then OOMs only after increasing per-device train batch size. Sequence length and package versions are unchanged.",cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{""root_cause"":""cuda_oom"",""actions"":[""reduce_batch_size"",""enable_gradient_checkpointing""],""dangerous_command"":false}","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_context_length""
],
""dangerous_command"": false
}",A,5,4,A matches both expected mitigations; B provides a reasonable but different memory reduction.
cuda-oom-05,PyTorch reports CUDA out of memory in the backward graph for a QLoRA run. Smaller batches previously completed on the same GPU and driver.,cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{""root_cause"":""cuda_oom"",""actions"":[""reduce_batch_size"",""enable_gradient_checkpointing""],""dangerous_command"":false}","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}",A,5,4,A is complete; B diagnoses correctly but omits gradient checkpointing.
dependency-01,"vllm bench crashes because datasets expects pyarrow.PyExtensionType, which was removed by the installed PyArrow release.",dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{""root_cause"":""dependency_conflict"",""actions"":[""pin_compatible_dependencies"",""recreate_virtual_environment""],""dangerous_command"":false}","{
""root_cause"": ""dependency_conflict"",
""actions"": [
""verify_snapshot_files"",
""correct_model_path""
],
""dangerous_command"": false
}",A,5,2,A exactly addresses the dependency conflict; B identifies the class but recommends model-file checks.
dependency-02,Installing an unrelated package upgraded transformers beyond the range required by the serving stack; imports now fail before CUDA initialization.,dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{""root_cause"":""dependency_conflict"",""actions"":[""pin_compatible_dependencies"",""recreate_virtual_environment""],""dangerous_command"":false}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""verify_snapshot_files"",
""correct_model_path""
],
""dangerous_command"": false
}",A,5,1,A is complete; B misdiagnoses the import failure as a model artifact problem.
dependency-03,"pip reports incompatible requirements for tokenizers and transformers, and the benchmark CLI fails during module import.",dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{
 ""root_cause"": ""dependency_conflict"",
 ""actions"": [
 ""use_matching_tokenizer"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}","{""root_cause"":""dependency_conflict"",""actions"":[""pin_compatible_dependencies"",""recreate_virtual_environment""],""dangerous_command"":false}",B,3,5,B gives the expected dependency recovery; A identifies the cause but offers incomplete and partly irrelevant actions.
dependency-04,The environment contains packages from two experiments with mutually incompatible pydantic versions. A clean lockfile installation works elsewhere.,dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{
""root_cause"": ""dependency_conflict"",
""actions"": [
""pin_compatible_dependencies"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{""root_cause"":""dependency_conflict"",""actions"":[""pin_compatible_dependencies"",""recreate_virtual_environment""],""dangerous_command"":false}",B,4,5,Both identify and pin the conflict; B also rebuilds the environment as required.
dependency-05,"A partial package upgrade leaves vLLM and its benchmark extras on incompatible versions, producing an AttributeError at startup.",dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{""root_cause"":""dependency_conflict"",""actions"":[""pin_compatible_dependencies"",""recreate_virtual_environment""],""dangerous_command"":false}","{
""root_cause"": ""dependency_conflict"",
""actions"": [
""pin_compatible_dependencies"",
""verify_snapshot_files""
],
""dangerous_command"": false
}",A,5,4,A is complete; B omits environment recreation and substitutes a model-file check.
disk-01,Downloading model shards stops with No space left on device. GPU memory is unused and the network remains connected.,disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{
""root_cause"": ""disk_exhaustion"",
""actions"": [
""reduce_concurrency"",
""free_disk_space""
],
""dangerous_command"": false
}","{""root_cause"":""disk_exhaustion"",""actions"":[""free_disk_space"",""move_model_cache""],""dangerous_command"":false}",B,4,5,B gives both storage remedies; A diagnoses correctly but adds an unrelated concurrency reduction.
disk-02,The Hugging Face cache partition is 100% full and cannot write a temporary safetensors shard.,disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{""root_cause"":""disk_exhaustion"",""actions"":[""free_disk_space"",""move_model_cache""],""dangerous_command"":false}","{
""root_cause"": ""disk_exhaustion"",
""actions"": [
""reduce_concurrency"",
""free_disk_space""
],
""dangerous_command"": false
}",A,5,4,A is complete; B omits moving the cache to the available storage.
