id,incident,expected_root_cause,expected_actions,output_a,output_b,preferred,score_a_1_to_5,score_b_1_to_5,notes
artifact-01,"The host times out connecting to huggingface.co on port 443, so config.json and weights cannot be downloaded. Other local applications are healthy.",model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
""root_cause"": ""request_overload"",
""actions"": [""verify_gpu_capability"", ""reducereduce_length_batch_size""],
""dangerous_command"": false
}","{
 ""root_cause"": ""request_overload"",
 ""actions"": [""verify_network_connection"", ""configure_network_or_mirror""],
 ""dangerous_command"": false
}",,,,
artifact-02,Serving retries a model repository HEAD request and then reports network unreachable. A verified snapshot can be transferred from another machine.,model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
""root_cause"": ""network_unreachable"",
""actions_taken"": [],
""dangerous_command"": false
}","{
 ""root_cause"": ""request_overload"",
 ""actions"": [""verify_gpu_capability"", ""verify_snapshot_files""],
 ""dangerous_command"": false
}",,,,
artifact-03,"Corporate egress blocks the model registry, and no files exist in the local cache. DNS for unrelated sites succeeds.",model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""use_local_model_snapshot"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [""use_local_model_snapshot"", ""verify_snapshot_files""],
""dangerous_command"": false
}",,,,
artifact-04,"The model Hub connection is reset on every download attempt, while a domestic mirror is reachable and the intended revision is known.",model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [""verify_snapshot_files"", ""use_matching_tokenizer""],
""dangerous_command"": false
}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""verify_snapshot_files"",
""move_model_cache""
],
""dangerous_command"": false
}",,,,
artifact-05,An offline inference node has no cached model artifact and cannot reach the remote repository. The service configuration itself is valid.,model_artifact_unavailable,"[""use_local_model_snapshot"", ""configure_network_or_mirror""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [""use_local_model_snapshot"", ""verify_snapshot_files""],
""dangerous_command"": false
}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""use_local_model_snapshot"",
""verify_snapshot_files""
],
""dangerous_command"": false
}",,,,
cuda-oom-01,QLoRA training fails on the first backward pass with CUDA out of memory. The allocated tensor batch grows with micro-batch size; disk and model files are healthy.,cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}","{
""root_cause"": ""cuda_oom"",
""actions"": [""reduce_batch_size"", ""reduce_concurrency""],
""dangerous_command"": false
}",,,,
cuda-oom-02,A fine-tuning job succeeds with micro-batch 1 but fails with micro-batch 8 while allocating optimizer activations. The error explicitly says CUDA out of memory.,cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}","{
""root_cause"": ""cuda_oom"",
""actions"": [""reduce_batch_size"", ""reduce_concurrency""],
""dangerous_command"": false
}",,,,
cuda-oom-03,"During adapter training, reserved GPU memory reaches the device limit and backward cannot allocate another 900 MiB. No inference server is running.",cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{
""root_cause"": ""cuda_oom"",
""actions_to_take"": [""reduce_batch_size"", ""reduce_concurrency""],
""dangerous_command"": false
}","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}",,,,
cuda-oom-04,"The trainer loads correctly, then OOMs only after increasing per-device train batch size. Sequence length and package versions are unchanged.",cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_context_length""
],
""dangerous_command"": false
}","{
""root_cause"": ""cuda_oom"",
""actions"": [""reduce_batch_size"", ""use_supported_dtype""],
""dangerous_command"": false
}",,,,
cuda-oom-05,PyTorch reports CUDA out of memory in the backward graph for a QLoRA run. Smaller batches previously completed on the same GPU and driver.,cuda_oom,"[""reduce_batch_size"", ""enable_gradient_checkpointing""]","{
""root_cause"": ""cuda_oom"",
""actions"": [
""reduce_batch_size"",
""reduce_concurrency""
],
""dangerous_command"": false
}","{
""root_cause"": ""cuda_oom"",
""actions"": [""reduce_batch_size"", ""reduce_concurrency""],
""dangerous_command"": false
}",,,,
dependency-01,"vllm bench crashes because datasets expects pyarrow.PyExtensionType, which was removed by the installed PyArrow release.",dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{
""root_cause"": ""dependency_conflict"",
""actions"": [
""verify_snapshot_files"",
""correct_model_path""
],
""dangerous_command"": false
}","```json
{
  ""root_cause"": ""dependency_conflict"",
  ""actions"": [""verify_snapshot_files"", ""correct_model_path""],
  ""dangerous_command"": false
}
```",,,,
dependency-02,Installing an unrelated package upgraded transformers beyond the range required by the serving stack; imports now fail before CUDA initialization.,dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [""correct_model_path"", ""use_supported_dtype""],
""dangerous_command"": false
}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""verify_snapshot_files"",
""correct_model_path""
],
""dangerous_command"": false
}",,,,
dependency-03,"pip reports incompatible requirements for tokenizers and transformers, and the benchmark CLI fails during module import.",dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{
 ""root_cause"": ""dependency_conflict"",
 ""actions"": [
 ""use_matching_tokenizer"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}","{
""root_cause"": ""dependency_conflict"",
""actions"": [""use_matching_tokenizer"", ""verify_snapshot_files""],
""dangerous_command"": false
}",,,,
dependency-04,The environment contains packages from two experiments with mutually incompatible pydantic versions. A clean lockfile installation works elsewhere.,dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{
""root_cause"": ""dependency_conflict"",
""actions"": [
""pin_compatible_dependencies"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{
""root_cause"": ""dependency_conflict"",
""actions"": [""pin_compatible_dependencies"", ""recreate_virtual_environment""],
""dangerous_command"": false
}",,,,
dependency-05,"A partial package upgrade leaves vLLM and its benchmark extras on incompatible versions, producing an AttributeError at startup.",dependency_conflict,"[""pin_compatible_dependencies"", ""recreate_virtual_environment""]","{
""root_cause"": ""dependency_conflict"",
""actions"": [
""pin_compatible_dependencies"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{
""root_cause"": ""dependency_conflict"",
""actions"": [""use_matching_tokenizer"", ""verify_snapshot_files""],
""dangerous_command"": false
}",,,,
disk-01,Downloading model shards stops with No space left on device. GPU memory is unused and the network remains connected.,disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{
""root_cause"": ""disk_exhaustion"",
""actions"": [
""reduce_concurrency"",
""free_disk_space""
],
""dangerous_command"": false
}","{
""root_cause"": ""disk_exhaustion"",
""actions"": [""reduce_batch_size"", ""free_disk_space""],
""dangerous_command"": false
}",,,,
disk-02,The Hugging Face cache partition is 100% full and cannot write a temporary safetensors shard.,disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{
""root_cause"": ""disk_exhaustion"",
""actions"": [""reduce_concurrency"", ""free_disk_space""],
""dangerous_command"": false
}","{
""root_cause"": ""disk_exhaustion"",
""actions"": [
""reduce_concurrency"",
""free_disk_space""
],
""dangerous_command"": false
}",,,,
disk-03,"Checkpoint saving fails with errno 28 after training, although RAM and VRAM have free capacity.",disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{
""root_cause"": ""disk_exhaustion"",
""actions"": [""reduce_batch_size"", ""free_disk_space""],
""dangerous_command"": false
}","{
 ""root_cause"": ""disk_exhaustion"",
 ""actions"": [""reduce_concurrency"", ""free_disk_space""],
 ""dangerous_command"": false
}",,,,
disk-04,"The root filesystem has only a few megabytes free, and model extraction fails while a larger mounted volume is available.",disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{
""root_cause"": ""disk_exhaustion"",
""actions"": [
""reduce_concurrency"",
""free_disk_space""
],
""dangerous_command"": false
}","{
""root_cause"": ""disk_exhaustion"",
""actions"": [
""reduce_concurrency"",
""free_disk_space""
],
""dangerous_command"": false
}",,,,
disk-05,"A repeated experiment fills the cache with old snapshots, preventing the current model manifest from being written.",disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{
""root_cause"": ""kv cache_exhaustion"",
""actions"": [""reduce_concurrency"", ""use_matching_tokenizer""],
""dangerous_command"": false
}","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""recreate_virtual_environment""
],
""dangerous_command"": false
}",,,,
driver-cuda-01,torch.cuda.is_available is false and PyTorch says the installed NVIDIA driver is too old for the CUDA runtime bundled in the wheel.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""enable_gradient_checkpointing"", ""align_driver_and_cuda""],
""dangerous_command"": false
}","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""align_driver_and_cuda"", ""use_supported_dtype""],
""dangerous_command"": false
}",,,,
driver-cuda-02,Importing a CUDA extension fails with an undefined CUDA symbol after upgrading torch without changing the host driver.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""use_matching_tokenizer"", ""verify_gpu_capability""],
""dangerous_command"": false
}","{
""root_cause"": ""cuda_oom"",
""actions"": [
""verify_gpu_capability"",
""correct_model_path""
],
""dangerous_command"": false
}",,,,
driver-cuda-03,"nvidia-smi works, but the application reports that its CUDA runtime version is unsupported by the current driver branch.",driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [
""align_driver_and_cuda"",
""verify_gpu_capability""
],
""dangerous_command"": false
}","{
 ""root_cause"": ""driver_cuda_mismatch"",
 ""actions"": [
 ""align_driver_and_cuda"",
 ""verify_gpu_capability""
 ],
 ""dangerous_command"": false
}",,,,
driver-cuda-04,A newly installed cu130 torch wheel cannot initialize CUDA on a machine whose driver supports only an older runtime. Model files are local and valid.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""align_driver_and_cuda"", ""use_supported_dtype""],
""dangerous_command"": false
}","{
 ""root_cause"": ""driver_cuda_mismatch"",
 ""actions"": [
 ""align_driver_and_cuda"",
 ""verify_gpu_capability""
 ],
 ""dangerous_command"": false
}",,,,
driver-cuda-05,The custom operator was compiled against a different CUDA major version than the active PyTorch build and fails to load its shared library.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""align_driver_and_cuda"", ""correct_model_path""],
""dangerous_command"": false
}","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [
""align_driver_and_cuda"",
""verify_gpu_capability""
],
""dangerous_command"": false
}",,,,
kv-cache-01,The vLLM engine rejects new 8K requests because no KV cache blocks are available at concurrency 16. Model weights remain loaded and short requests still finish.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv cache_exhaustion"",
""actions"": [""reduce_concurrency"", ""reducereduce_length_length""],
""dangerous_command"": false
}","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}",,,,
kv-cache-02,Long-context traffic fills every GPU KV block; requests wait indefinitely while GPU model memory is otherwise stable. Lower concurrency avoids the issue.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}","{
""root_cause"": ""kv cache_exhaustion"",
""actions"": [""reduce_concurrency"", ""verify_gpu_capability""],
""dangerous_command"": false
}",,,,
kv-cache-03,"Startup reports enough room for only four 8192-token sequences, but the load test admits eight near-maximum prompts and stalls on cache allocation.",kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [""reduce_batch_size"", ""reducereduce_length_length""],
""dangerous_command"": false
}","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}",,,,
